isamp	adc	time	tot	eoe
0	4772	20452	0	0
1	4780	20453	0	0
2	4781	20454	0	0
3	4778	20455	0	0
4	4782	20456	0	0
5	4774	20457	0	0
6	4777	20458	0	0
7	4784	20459	0	0
8	4772	20460	0	0
9	4776	20461	0	0
10	4777	20462	0	0
11	4779	20463	0	0
12	4772	20464	0	0
13	4775	20465	0	0
14	4777	20466	0	0
15	4773	20467	0	0
16	4774	20468	0	0
17	4778	20469	0	0
18	4772	20470	0	0
19	4777	20471	0	0
20	4775	20472	0	0
21	4778	20473	0	0
22	4775	20474	0	0
23	4773	20475	0	0
24	4776	20476	0	0
25	4775	20477	0	0
26	4775	20478	0	0
27	4778	20479	0	0
28	4773	20480	0	0
29	4778	20481	0	0
30	4774	20482	0	0
31	4773	20483	0	0
32	4779	20484	0	0
33	4772	20485	0	0
34	4780	20486	0	0
35	4775	20487	0	0
36	4773	20488	0	0
37	4779	20489	0	0
38	4777	20490	0	0
39	4779	20491	0	0
40	4770	20492	0	0
41	4782	20493	0	0
42	4776	20494	0	0
43	4775	20495	0	0
44	4781	20496	0	0
45	4775	20497	0	0
46	4775	20498	0	0
47	4779	20499	0	0
48	4774	20500	0	0
49	4781	20501	0	0
50	4772	20502	0	0
51	4781	20503	0	0
52	4780	20504	0	0
53	4774	20505	0	0
54	4781	20506	0	0
55	4774	20507	0	0
56	4772	20508	0	0
57	4777	20509	0	0
58	4771	20510	0	0
59	4775	20511	0	0
60	4774	20512	0	0
61	4775	20513	0	0
62	4778	20514	0	0
63	4776	20515	0	0
64	4779	20516	0	0
65	4773	20517	0	0
66	4775	20518	0	0
67	4773	20519	0	0
68	4778	20520	0	0
69	4779	20521	0	0
70	4772	20522	0	0
71	4773	20523	0	0
72	4776	20524	0	0
73	4775	20525	0	0
74	4779	20526	0	0
75	4772	20527	0	0
76	4772	20528	0	0
77	4780	20529	0	0
78	4773	20530	0	0
79	4775	20531	0	0
80	4778	20532	0	0
81	4771	20533	0	0
82	4776	20534	0	0
83	4776	20535	0	0
84	4769	20536	0	0
85	4782	20537	0	0
86	4772	20538	0	0
87	4795	20539	0	0
88	4901	20540	0	0
89	5133	20541	0	0
90	5336	20542	0	0
91	5427	20543	0	0
92	5431	20544	0	0
93	5385	20545	0	0
94	5278	20546	0	0
95	5139	20547	0	0
96	5041	20548	0	0
97	4977	20549	0	0
98	4926	20550	0	0
99	4886	20551	0	0
100	4851	20552	0	0
101	4838	20553	0	0
102	4820	20554	0	0
103	4803	20555	0	0
104	4805	20556	0	0
105	4804	20557	0	0
106	4806	20558	0	0
107	4807	20559	0	0
108	4798	20560	0	0
109	4804	20561	0	0
110	4796	20562	0	0
111	4798	20563	0	0
112	4792	20564	0	0
113	4787	20565	0	0
114	4784	20566	0	0
115	4779	20567	0	0
116	4775	20568	0	0
117	4779	20569	0	0
118	4776	20570	0	0
119	4775	20571	0	0
120	4772	20572	0	0
121	4774	20573	0	0
122	4776	20574	0	0
123	4778	20575	0	0
