isamp	adc	time	tot	eoe
0	4780	61964	0	0
1	4777	61965	0	0
2	4781	61966	0	0
3	4774	61967	0	0
4	4773	61968	0	0
5	4780	61969	0	0
6	4773	61970	0	0
7	4775	61971	0	0
8	4770	61972	0	0
9	4776	61973	0	0
10	4780	61974	0	0
11	4772	61975	0	0
12	4779	61976	0	0
13	4777	61977	0	0
14	4772	61978	0	0
15	4780	61979	0	0
16	4775	61980	0	0
17	4780	61981	0	0
18	4776	61982	0	0
19	4779	61983	0	0
20	4776	61984	0	0
21	4778	61985	0	0
22	4775	61986	0	0
23	4774	61987	0	0
24	4777	61988	0	0
25	4774	61989	0	0
26	4776	61990	0	0
27	4784	61991	0	0
28	4774	61992	0	0
29	4782	61993	0	0
30	4776	61994	0	0
31	4773	61995	0	0
32	4779	61996	0	0
33	4776	61997	0	0
34	4775	61998	0	0
35	4777	61999	0	0
36	4773	62000	0	0
37	4780	62001	0	0
38	4773	62002	0	0
39	4776	62003	0	0
40	4777	62004	0	0
41	4777	62005	0	0
42	4776	62006	0	0
43	4774	62007	0	0
44	4773	62008	0	0
45	4779	62009	0	0
46	4776	62010	0	0
47	4778	62011	0	0
48	4770	62012	0	0
49	4781	62013	0	0
50	4780	62014	0	0
51	4772	62015	0	0
52	4780	62016	0	0
53	4772	62017	0	0
54	4774	62018	0	0
55	4776	62019	0	0
56	4773	62020	0	0
57	4777	62021	0	0
58	4772	62022	0	0
59	4773	62023	0	0
60	4778	62024	0	0
61	4770	62025	0	0
62	4776	62026	0	0
63	4775	62027	0	0
64	4776	62028	0	0
65	4775	62029	0	0
66	4775	62030	0	0
67	4775	62031	0	0
68	4778	62032	0	0
69	4771	62033	0	0
70	4778	62034	0	0
71	4773	62035	0	0
72	4779	62036	0	0
73	4770	62037	0	0
74	4773	62038	0	0
75	4777	62039	0	0
76	4773	62040	0	0
77	4773	62041	0	0
78	4770	62042	0	0
79	4775	62043	0	0
80	4774	62044	0	0
81	4775	62045	0	0
82	4778	62046	0	0
83	4773	62047	0	0
84	4778	62048	0	0
85	4784	62049	0	0
86	4828	62050	0	0
87	5067	62051	0	0
88	5432	62052	0	0
89	5599	62053	0	0
90	5547	62054	0	0
91	5493	62055	0	0
92	5442	62056	0	0
93	5336	62057	0	0
94	5222	62058	0	0
95	5114	62059	0	0
96	5022	62060	0	0
97	4944	62061	0	0
98	4879	62062	0	0
99	4846	62063	0	0
100	4825	62064	0	0
101	4823	62065	0	0
102	4814	62066	0	0
103	4796	62067	0	0
104	4803	62068	0	0
105	4801	62069	0	0
106	4795	62070	0	0
107	4797	62071	0	0
108	4786	62072	0	0
109	4784	62073	0	0
110	4786	62074	0	0
111	4778	62075	0	0
112	4780	62076	0	0
113	4785	62077	0	0
114	4782	62078	0	0
115	4785	62079	0	0
116	4775	62080	0	0
117	4783	62081	0	0
118	4776	62082	0	0
119	4774	62083	0	0
120	4779	62084	0	0
121	4779	62085	0	0
122	4784	62086	0	0
123	4783	62087	0	0
124	4779	62088	0	0
125	4783	62089	0	0
126	4780	62090	0	0
127	4779	62091	0	0
128	4775	62092	0	0
129	4776	62093	0	0
130	4780	62094	0	0
131	4774	62095	0	0
132	4782	62096	0	0
133	4776	62097	0	0
134	4778	62098	0	0
135	4777	62099	0	0
136	4773	62100	0	0
137	4784	62101	0	0
138	4774	62102	0	0
139	4775	62103	0	0
140	4778	62104	0	0
141	4772	62105	0	0
142	4779	62106	0	0
143	4778	62107	0	0
144	4777	62108	0	0
145	4778	62109	0	0
146	4778	62110	0	0
147	4777	62111	0	0
148	4775	62112	0	0
149	4776	62113	0	0
150	4778	62114	0	0
151	4774	62115	0	0
152	4780	62116	0	0
153	4776	62117	0	0
154	4781	62118	0	0
155	4774	62119	0	0
156	4775	62120	0	0
157	4778	62121	0	0
158	4778	62122	0	0
159	4775	62123	0	0
160	4778	62124	0	0
161	4771	62125	0	0
162	4781	62126	0	0
163	4772	62127	0	0
164	4777	62128	0	0
165	4780	62129	0	0
166	4777	62130	0	0
167	4777	62131	0	0
168	4775	62132	0	0
169	4777	62133	0	0
170	4781	62134	0	0
171	4774	62135	0	0
172	4776	62136	0	0
173	4776	62137	0	0
174	4776	62138	0	0
175	4779	62139	0	0
176	4779	62140	0	0
177	4776	62141	0	0
178	4772	62142	0	0
179	4780	62143	0	0
180	4775	62144	0	0
181	4780	62145	0	0
182	4779	62146	0	0
183	4777	62147	0	0
184	4780	62148	0	0
185	4780	62149	0	0
186	4777	62150	0	0
187	4778	62151	0	0
188	4774	62152	0	0
189	4778	62153	0	0
190	4782	62154	0	0
191	4775	62155	0	0
192	4782	62156	0	0
193	4774	62157	0	0
194	4771	62158	0	0
195	4780	62159	0	0
196	4771	62160	0	0
197	4779	62161	0	0
198	4775	62162	0	0
199	4775	62163	0	0
200	4776	62164	0	0
201	4775	62165	0	0
202	4778	62166	0	0
203	4774	62167	0	0
204	4774	62168	0	0
205	4778	62169	0	0
206	4774	62170	0	0
207	4774	62171	0	0
208	4773	62172	0	0
209	4776	62173	0	0
210	4775	62174	0	0
211	4770	62175	0	0
212	4776	62176	0	0
213	4774	62177	0	0
