isamp	adc	time	tot	eoe
0	4774	14432	0	0
1	4781	14433	0	0
2	4779	14434	0	0
3	4773	14435	0	0
4	4774	14436	0	0
5	4776	14437	0	0
6	4773	14438	0	0
7	4777	14439	0	0
8	4776	14440	0	0
9	4773	14441	0	0
10	4778	14442	0	0
11	4771	14443	0	0
12	4782	14444	0	0
13	4772	14445	0	0
14	4775	14446	0	0
15	4778	14447	0	0
16	4772	14448	0	0
17	4776	14449	0	0
18	4776	14450	0	0
19	4772	14451	0	0
20	4780	14452	0	0
21	4779	14453	0	0
22	4776	14454	0	0
23	4777	14455	0	0
24	4772	14456	0	0
25	4779	14457	0	0
26	4776	14458	0	0
27	4775	14459	0	0
28	4773	14460	0	0
29	4779	14461	0	0
30	4776	14462	0	0
31	4778	14463	0	0
32	4777	14464	0	0
33	4775	14465	0	0
34	4778	14466	0	0
35	4784	14467	0	0
36	4772	14468	0	0
37	4778	14469	0	0
38	4774	14470	0	0
39	4776	14471	0	0
40	4777	14472	0	0
41	4774	14473	0	0
42	4782	14474	0	0
43	4775	14475	0	0
44	4776	14476	0	0
45	4777	14477	0	0
46	4775	14478	0	0
47	4780	14479	0	0
48	4774	14480	0	0
49	4781	14481	0	0
50	4776	14482	0	0
51	4773	14483	0	0
52	4776	14484	0	0
53	4773	14485	0	0
54	4777	14486	0	0
55	4775	14487	0	0
56	4776	14488	0	0
57	4777	14489	0	0
58	4773	14490	0	0
59	4780	14491	0	0
60	4775	14492	0	0
61	4777	14493	0	0
62	4780	14494	0	0
63	4776	14495	0	0
64	4774	14496	0	0
65	4782	14497	0	0
66	4775	14498	0	0
67	4778	14499	0	0
68	4776	14500	0	0
69	4777	14501	0	0
70	4779	14502	0	0
71	4776	14503	0	0
72	4778	14504	0	0
73	4777	14505	0	0
74	4777	14506	0	0
75	4777	14507	0	0
76	4775	14508	0	0
77	4774	14509	0	0
78	4780	14510	0	0
79	4774	14511	0	0
80	4775	14512	0	0
81	4775	14513	0	0
82	4777	14514	0	0
83	4777	14515	0	0
84	4778	14516	0	0
85	4784	14517	0	0
86	4833	14518	0	0
87	5029	14519	0	0
88	5281	14520	0	0
89	5426	14521	0	0
90	5431	14522	0	0
91	5345	14523	0	0
92	5241	14524	0	0
93	5152	14525	0	0
94	5101	14526	0	0
95	5064	14527	0	0
96	5022	14528	0	0
97	4965	14529	0	0
98	4900	14530	0	0
99	4864	14531	0	0
100	4833	14532	0	0
101	4805	14533	0	0
102	4796	14534	0	0
103	4786	14535	0	0
104	4790	14536	0	0
105	4793	14537	0	0
106	4793	14538	0	0
107	4788	14539	0	0
108	4784	14540	0	0
109	4786	14541	0	0
110	4782	14542	0	0
111	4772	14543	0	0
112	4778	14544	0	0
113	4776	14545	0	0
114	4778	14546	0	0
115	4778	14547	0	0
116	4773	14548	0	0
117	4779	14549	0	0
118	4773	14550	0	0
119	4776	14551	0	0
120	4780	14552	0	0
121	4772	14553	0	0
122	4774	14554	0	0
123	4772	14555	0	0
124	4776	14556	0	0
125	4781	14557	0	0
126	4776	14558	0	0
127	4780	14559	0	0
128	4775	14560	0	0
129	4776	14561	0	0
130	4781	14562	0	0
131	4778	14563	0	0
132	4777	14564	0	0
133	4778	14565	0	0
134	4778	14566	0	0
135	4775	14567	0	0
136	4774	14568	0	0
137	4780	14569	0	0
138	4773	14570	0	0
139	4779	14571	0	0
140	4778	14572	0	0
141	4774	14573	0	0
142	4777	14574	0	0
143	4776	14575	0	0
144	4775	14576	0	0
145	4782	14577	0	0
146	4774	14578	0	0
147	4778	14579	0	0
148	4772	14580	0	0
149	4776	14581	0	0
150	4778	14582	0	0
151	4776	14583	0	0
152	4776	14584	0	0
153	4775	14585	0	0
154	4780	14586	0	0
155	4776	14587	0	0
156	4775	14588	0	0
157	4780	14589	0	0
158	4776	14590	0	0
159	4776	14591	0	0
160	4774	14592	0	0
161	4773	14593	0	0
162	4778	14594	0	0
163	4769	14595	0	0
164	4779	14596	0	0
165	4777	14597	0	0
166	4775	14598	0	0
167	4779	14599	0	0
168	4773	14600	0	0
169	4779	14601	0	0
170	4778	14602	0	0
171	4774	14603	0	0
172	4778	14604	0	0
173	4776	14605	0	0
174	4779	14606	0	0
175	4776	14607	0	0
176	4772	14608	0	0
177	4781	14609	0	0
178	4772	14610	0	0
179	4776	14611	0	0
180	4777	14612	0	0
181	4773	14613	0	0
182	4780	14614	0	0
183	4776	14615	0	0
184	4773	14616	0	0
185	4777	14617	0	0
186	4774	14618	0	0
187	4779	14619	0	0
188	4775	14620	0	0
189	4779	14621	0	0
190	4776	14622	0	0
191	4777	14623	0	0
192	4778	14624	0	0
193	4774	14625	0	0
194	4778	14626	0	0
195	4780	14627	0	0
196	4774	14628	0	0
197	4781	14629	0	0
198	4774	14630	0	0
199	4778	14631	0	0
200	4776	14632	0	0
201	4774	14633	0	0
202	4777	14634	0	0
203	4775	14635	0	0
204	4775	14636	0	0
205	4779	14637	0	0
206	4775	14638	0	0
207	4777	14639	0	0
208	4778	14640	0	0
209	4777	14641	0	0
210	4777	14642	0	0
211	4772	14643	0	0
212	4779	14644	0	0
