isamp	adc	time	tot	eoe
0	4770	24916	0	0
1	4777	24917	0	0
2	4778	24918	0	0
3	4775	24919	0	0
4	4778	24920	0	0
5	4773	24921	0	0
6	4778	24922	0	0
7	4779	24923	0	0
8	4774	24924	0	0
9	4780	24925	0	0
10	4773	24926	0	0
11	4776	24927	0	0
12	4776	24928	0	0
13	4773	24929	0	0
14	4777	24930	0	0
15	4773	24931	0	0
16	4776	24932	0	0
17	4779	24933	0	0
18	4778	24934	0	0
19	4775	24935	0	0
20	4776	24936	0	0
21	4775	24937	0	0
22	4775	24938	0	0
23	4781	24939	0	0
24	4779	24940	0	0
25	4774	24941	0	0
26	4772	24942	0	0
27	4776	24943	0	0
28	4775	24944	0	0
29	4779	24945	0	0
30	4775	24946	0	0
31	4776	24947	0	0
32	4779	24948	0	0
33	4779	24949	0	0
34	4782	24950	0	0
35	4775	24951	0	0
36	4779	24952	0	0
37	4780	24953	0	0
38	4773	24954	0	0
39	4781	24955	0	0
40	4774	24956	0	0
41	4779	24957	0	0
42	4780	24958	0	0
43	4775	24959	0	0
44	4777	24960	0	0
45	4772	24961	0	0
46	4778	24962	0	0
47	4775	24963	0	0
48	4777	24964	0	0
49	4779	24965	0	0
50	4778	24966	0	0
51	4780	24967	0	0
52	4782	24968	0	0
53	4778	24969	0	0
54	4774	24970	0	0
55	4776	24971	0	0
56	4778	24972	0	0
57	4778	24973	0	0
58	4775	24974	0	0
59	4780	24975	0	0
60	4776	24976	0	0
61	4772	24977	0	0
62	4779	24978	0	0
63	4778	24979	0	0
64	4780	24980	0	0
65	4775	24981	0	0
66	4774	24982	0	0
67	4780	24983	0	0
68	4768	24984	0	0
69	4784	24985	0	0
70	4777	24986	0	0
71	4777	24987	0	0
72	4779	24988	0	0
73	4780	24989	0	0
74	4779	24990	0	0
75	4775	24991	0	0
76	4772	24992	0	0
77	4778	24993	0	0
78	4777	24994	0	0
79	4777	24995	0	0
80	4778	24996	0	0
81	4779	24997	0	0
82	4781	24998	0	0
83	4773	24999	0	0
84	4782	25000	0	0
85	4785	25001	0	0
86	4884	25002	0	0
87	5165	25003	0	0
88	5499	25004	0	0
89	5640	25005	0	0
90	5553	25006	0	0
91	5429	25007	0	0
92	5330	25008	0	0
93	5220	25009	0	0
94	5130	25010	0	0
95	5055	25011	0	0
96	5000	25012	0	0
97	4955	25013	0	0
98	4903	25014	0	0
99	4874	25015	0	0
100	4842	25016	0	0
101	4824	25017	0	0
102	4812	25018	0	0
103	4806	25019	0	0
104	4810	25020	0	0
105	4812	25021	0	0
106	4815	25022	0	0
107	4807	25023	0	0
108	4806	25024	0	0
109	4814	25025	0	0
110	4806	25026	0	0
111	4799	25027	0	0
112	4792	25028	0	0
113	4795	25029	0	0
114	4793	25030	0	0
115	4782	25031	0	0
116	4784	25032	0	0
117	4785	25033	0	0
118	4779	25034	0	0
119	4780	25035	0	0
120	4778	25036	0	0
121	4776	25037	0	0
122	4782	25038	0	0
123	4774	25039	0	0
124	4780	25040	0	0
125	4773	25041	0	0
126	4775	25042	0	0
127	4778	25043	0	0
128	4776	25044	0	0
129	4782	25045	0	0
130	4774	25046	0	0
131	4779	25047	0	0
132	4778	25048	0	0
133	4777	25049	0	0
134	4779	25050	0	0
135	4775	25051	0	0
136	4776	25052	0	0
137	4780	25053	0	0
138	4780	25054	0	0
139	4777	25055	0	0
140	4775	25056	0	0
141	4780	25057	0	0
142	4778	25058	0	0
143	4775	25059	0	0
144	4782	25060	0	0
145	4777	25061	0	0
146	4776	25062	0	0
147	4779	25063	0	0
148	4775	25064	0	0
149	4778	25065	0	0
150	4778	25066	0	0
151	4777	25067	0	0
152	4784	25068	0	0
153	4775	25069	0	0
154	4779	25070	0	0
155	4773	25071	0	0
156	4776	25072	0	0
157	4783	25073	0	0
158	4777	25074	0	0
159	4781	25075	0	0
160	4776	25076	0	0
161	4778	25077	0	0
162	4777	25078	0	0
163	4777	25079	0	0
164	4779	25080	0	0
165	4775	25081	0	0
166	4776	25082	0	0
167	4777	25083	0	0
168	4774	25084	0	0
169	4780	25085	0	0
170	4772	25086	0	0
171	4779	25087	0	0
172	4779	25088	0	0
173	4780	25089	0	0
174	4778	25090	0	0
