isamp	adc	time	tot	eoe
0	4777	53624	0	0
1	4773	53625	0	0
2	4776	53626	0	0
3	4771	53627	0	0
4	4773	53628	0	0
5	4780	53629	0	0
6	4771	53630	0	0
7	4783	53631	0	0
8	4772	53632	0	0
9	4776	53633	0	0
10	4778	53634	0	0
11	4775	53635	0	0
12	4777	53636	0	0
13	4772	53637	0	0
14	4775	53638	0	0
15	4774	53639	0	0
16	4775	53640	0	0
17	4773	53641	0	0
18	4774	53642	0	0
19	4775	53643	0	0
20	4773	53644	0	0
21	4773	53645	0	0
22	4771	53646	0	0
23	4772	53647	0	0
24	4772	53648	0	0
25	4777	53649	0	0
26	4770	53650	0	0
27	4773	53651	0	0
28	4770	53652	0	0
29	4777	53653	0	0
30	4779	53654	0	0
31	4771	53655	0	0
32	4777	53656	0	0
33	4774	53657	0	0
34	4775	53658	0	0
35	4776	53659	0	0
36	4778	53660	0	0
37	4776	53661	0	0
38	4775	53662	0	0
39	4776	53663	0	0
40	4782	53664	0	0
41	4776	53665	0	0
42	4774	53666	0	0
43	4775	53667	0	0
44	4770	53668	0	0
45	4779	53669	0	0
46	4780	53670	0	0
47	4776	53671	0	0
48	4774	53672	0	0
49	4779	53673	0	0
50	4772	53674	0	0
51	4774	53675	0	0
52	4774	53676	0	0
53	4774	53677	0	0
54	4781	53678	0	0
55	4779	53679	0	0
56	4773	53680	0	0
57	4781	53681	0	0
58	4772	53682	0	0
59	4780	53683	0	0
60	4782	53684	0	0
61	4777	53685	0	0
62	4779	53686	0	0
63	4776	53687	0	0
64	4778	53688	0	0
65	4780	53689	0	0
66	4770	53690	0	0
67	4781	53691	0	0
68	4770	53692	0	0
69	4773	53693	0	0
70	4779	53694	0	0
71	4775	53695	0	0
72	4775	53696	0	0
73	4777	53697	0	0
74	4777	53698	0	0
75	4778	53699	0	0
76	4771	53700	0	0
77	4779	53701	0	0
78	4772	53702	0	0
79	4777	53703	0	0
80	4775	53704	0	0
81	4774	53705	0	0
82	4776	53706	0	0
83	4767	53707	0	0
84	4777	53708	0	0
85	4778	53709	0	0
86	4777	53710	0	0
87	4788	53711	0	0
88	4854	53712	0	0
89	5086	53713	0	0
90	5398	53714	0	0
91	5547	53715	0	0
92	5502	53716	0	0
93	5382	53717	0	0
94	5278	53718	0	0
95	5161	53719	0	0
96	5054	53720	0	0
97	4972	53721	0	0
98	4904	53722	0	0
99	4861	53723	0	0
100	4834	53724	0	0
101	4814	53725	0	0
102	4804	53726	0	0
103	4798	53727	0	0
104	4796	53728	0	0
105	4803	53729	0	0
106	4799	53730	0	0
107	4798	53731	0	0
108	4804	53732	0	0
109	4801	53733	0	0
110	4800	53734	0	0
111	4789	53735	0	0
112	4790	53736	0	0
113	4783	53737	0	0
114	4783	53738	0	0
115	4791	53739	0	0
116	4784	53740	0	0
117	4787	53741	0	0
118	4783	53742	0	0
119	4776	53743	0	0
120	4782	53744	0	0
121	4774	53745	0	0
122	4779	53746	0	0
123	4778	53747	0	0
124	4772	53748	0	0
125	4779	53749	0	0
126	4775	53750	0	0
127	4777	53751	0	0
128	4771	53752	0	0
129	4775	53753	0	0
130	4774	53754	0	0
131	4776	53755	0	0
132	4774	53756	0	0
133	4776	53757	0	0
134	4775	53758	0	0
135	4779	53759	0	0
136	4772	53760	0	0
137	4783	53761	0	0
138	4775	53762	0	0
139	4775	53763	0	0
140	4779	53764	0	0
141	4776	53765	0	0
142	4780	53766	0	0
143	4774	53767	0	0
144	4774	53768	0	0
145	4779	53769	0	0
146	4774	53770	0	0
147	4780	53771	0	0
148	4777	53772	0	0
149	4773	53773	0	0
150	4778	53774	0	0
151	4773	53775	0	0
152	4777	53776	0	0
153	4774	53777	0	0
154	4772	53778	0	0
155	4776	53779	0	0
156	4771	53780	0	0
157	4782	53781	0	0
158	4774	53782	0	0
159	4776	53783	0	0
160	4778	53784	0	0
161	4775	53785	0	0
162	4782	53786	0	0
163	4772	53787	0	0
164	4775	53788	0	0
165	4779	53789	0	0
166	4774	53790	0	0
167	4777	53791	0	0
168	4775	53792	0	0
169	4779	53793	0	0
170	4776	53794	0	0
171	4775	53795	0	0
172	4778	53796	0	0
173	4771	53797	0	0
174	4774	53798	0	0
175	4780	53799	0	0
176	4773	53800	0	0
177	4780	53801	0	0
178	4775	53802	0	0
179	4778	53803	0	0
180	4777	53804	0	0
181	4776	53805	0	0
182	4782	53806	0	0
183	4771	53807	0	0
184	4775	53808	0	0
185	4778	53809	0	0
186	4773	53810	0	0
187	4778	53811	0	0
188	4772	53812	0	0
189	4779	53813	0	0
190	4777	53814	0	0
191	4772	53815	0	0
192	4774	53816	0	0
193	4771	53817	0	0
194	4773	53818	0	0
195	4778	53819	0	0
196	4772	53820	0	0
197	4776	53821	0	0
198	4775	53822	0	0
199	4774	53823	0	0
200	4778	53824	0	0
201	4772	53825	0	0
202	4781	53826	0	0
203	4774	53827	0	0
204	4776	53828	0	0
205	4775	53829	0	0
206	4775	53830	0	0
207	4776	53831	0	0
208	4771	53832	0	0
209	4776	53833	0	0
210	4777	53834	0	0
211	4775	53835	0	0
212	4779	53836	0	0
213	4773	53837	0	0
214	4775	53838	0	0
215	4780	53839	0	0
216	4775	53840	0	0
217	4778	53841	0	0
218	4774	53842	0	0
219	4777	53843	0	0
220	4782	53844	0	0
221	4777	53845	0	0
222	4778	53846	0	0
223	4773	53847	0	0
224	4778	53848	0	0
225	4779	53849	0	0
226	4771	53850	0	0
227	4776	53851	0	0
228	4773	53852	0	0
229	4777	53853	0	0
230	4777	53854	0	0
231	4772	53855	0	0
232	4775	53856	0	0
233	4778	53857	0	0
234	4774	53858	0	0
235	4777	53859	0	0
236	4773	53860	0	0
237	4775	53861	0	0
238	4777	53862	0	0
239	4776	53863	0	0
240	4776	53864	0	0
241	4773	53865	0	0
242	4780	53866	0	0
243	4773	53867	0	0
244	4775	53868	0	0
245	4776	53869	0	0
246	4774	53870	0	0
247	4778	53871	0	0
248	4770	53872	0	0
249	4774	53873	0	0
250	4776	53874	0	0
251	4772	53875	0	0
252	4777	53876	0	0
253	4774	53877	0	0
254	4770	53878	0	0
255	4779	53879	0	1
