isamp	adc	time	tot	eoe
0	4777	35188	0	0
1	4775	35189	0	0
2	4773	35190	0	0
3	4779	35191	0	0
4	4775	35192	0	0
5	4776	35193	0	0
6	4776	35194	0	0
7	4772	35195	0	0
8	4776	35196	0	0
9	4774	35197	0	0
10	4777	35198	0	0
11	4778	35199	0	0
12	4778	35200	0	0
13	4780	35201	0	0
14	4774	35202	0	0
15	4776	35203	0	0
16	4777	35204	0	0
17	4772	35205	0	0
18	4778	35206	0	0
19	4774	35207	0	0
20	4772	35208	0	0
21	4777	35209	0	0
22	4774	35210	0	0
23	4779	35211	0	0
24	4775	35212	0	0
25	4772	35213	0	0
26	4778	35214	0	0
27	4772	35215	0	0
28	4777	35216	0	0
29	4773	35217	0	0
30	4776	35218	0	0
31	4778	35219	0	0
32	4772	35220	0	0
33	4776	35221	0	0
34	4772	35222	0	0
35	4775	35223	0	0
36	4775	35224	0	0
37	4778	35225	0	0
38	4780	35226	0	0
39	4774	35227	0	0
40	4776	35228	0	0
41	4778	35229	0	0
42	4774	35230	0	0
43	4775	35231	0	0
44	4772	35232	0	0
45	4775	35233	0	0
46	4781	35234	0	0
47	4779	35235	0	0
48	4777	35236	0	0
49	4774	35237	0	0
50	4779	35238	0	0
51	4784	35239	0	0
52	4775	35240	0	0
53	4776	35241	0	0
54	4776	35242	0	0
55	4776	35243	0	0
56	4778	35244	0	0
57	4775	35245	0	0
58	4778	35246	0	0
59	4773	35247	0	0
60	4777	35248	0	0
61	4776	35249	0	0
62	4771	35250	0	0
63	4776	35251	0	0
64	4777	35252	0	0
65	4775	35253	0	0
66	4775	35254	0	0
67	4772	35255	0	0
68	4779	35256	0	0
69	4777	35257	0	0
70	4778	35258	0	0
71	4781	35259	0	0
72	4776	35260	0	0
73	4778	35261	0	0
74	4775	35262	0	0
75	4772	35263	0	0
76	4777	35264	0	0
77	4775	35265	0	0
78	4779	35266	0	0
79	4772	35267	0	0
80	4776	35268	0	0
81	4780	35269	0	0
82	4776	35270	0	0
83	4777	35271	0	0
84	4775	35272	0	0
85	4819	35273	0	0
86	5000	35274	0	0
87	5356	35275	0	0
88	5605	35276	0	0
89	5597	35277	0	0
90	5468	35278	0	0
91	5314	35279	0	0
92	5177	35280	0	0
93	5088	35281	0	0
94	5012	35282	0	0
95	4940	35283	0	0
96	4889	35284	0	0
97	4847	35285	0	0
98	4823	35286	0	0
99	4808	35287	0	0
100	4809	35288	0	0
101	4813	35289	0	0
102	4797	35290	0	0
103	4799	35291	0	0
104	4788	35292	0	0
105	4802	35293	0	0
106	4816	35294	0	0
107	4822	35295	0	0
108	4814	35296	0	0
109	4806	35297	0	0
110	4793	35298	0	0
111	4785	35299	0	0
112	4781	35300	0	0
113	4785	35301	0	0
114	4776	35302	0	0
115	4779	35303	0	0
116	4778	35304	0	0
117	4776	35305	0	0
118	4780	35306	0	0
119	4770	35307	0	0
120	4782	35308	0	0
121	4779	35309	0	0
122	4777	35310	0	0
123	4778	35311	0	0
124	4772	35312	0	0
125	4778	35313	0	0
126	4780	35314	0	0
127	4776	35315	0	0
128	4777	35316	0	0
129	4779	35317	0	0
130	4776	35318	0	0
131	4781	35319	0	0
132	4775	35320	0	0
133	4781	35321	0	0
134	4772	35322	0	0
135	4779	35323	0	0
136	4777	35324	0	0
137	4772	35325	0	0
138	4779	35326	0	0
139	4773	35327	0	0
140	4778	35328	0	0
141	4780	35329	0	0
142	4777	35330	0	0
143	4780	35331	0	0
144	4776	35332	0	0
145	4774	35333	0	0
146	4779	35334	0	0
147	4773	35335	0	0
148	4779	35336	0	0
149	4772	35337	0	0
150	4776	35338	0	0
151	4780	35339	0	0
152	4771	35340	0	0
153	4778	35341	0	0
154	4777	35342	0	0
155	4774	35343	0	0
156	4779	35344	0	0
157	4774	35345	0	0
158	4782	35346	0	0
159	4775	35347	0	0
160	4778	35348	0	0
161	4778	35349	0	0
162	4775	35350	0	0
163	4777	35351	0	0
164	4774	35352	0	0
165	4777	35353	0	0
166	4775	35354	0	0
167	4777	35355	0	0
168	4780	35356	0	0
169	4777	35357	0	0
170	4780	35358	0	0
171	4780	35359	0	0
172	4776	35360	0	0
173	4780	35361	0	0
174	4774	35362	0	0
