isamp	adc	time	tot	eoe
0	4777	49280	0	0
1	4774	49281	0	0
2	4781	49282	0	0
3	4777	49283	0	0
4	4772	49284	0	0
5	4779	49285	0	0
6	4772	49286	0	0
7	4779	49287	0	0
8	4777	49288	0	0
9	4773	49289	0	0
10	4780	49290	0	0
11	4770	49291	0	0
12	4777	49292	0	0
13	4771	49293	0	0
14	4774	49294	0	0
15	4778	49295	0	0
16	4775	49296	0	0
17	4778	49297	0	0
18	4772	49298	0	0
19	4774	49299	0	0
20	4775	49300	0	0
21	4775	49301	0	0
22	4777	49302	0	0
23	4774	49303	0	0
24	4777	49304	0	0
25	4776	49305	0	0
26	4774	49306	0	0
27	4777	49307	0	0
28	4776	49308	0	0
29	4777	49309	0	0
30	4777	49310	0	0
31	4778	49311	0	0
32	4778	49312	0	0
33	4774	49313	0	0
34	4776	49314	0	0
35	4777	49315	0	0
36	4773	49316	0	0
37	4780	49317	0	0
38	4775	49318	0	0
39	4778	49319	0	0
40	4777	49320	0	0
41	4776	49321	0	0
42	4780	49322	0	0
43	4773	49323	0	0
44	4774	49324	0	0
45	4780	49325	0	0
46	4777	49326	0	0
47	4776	49327	0	0
48	4773	49328	0	0
49	4780	49329	0	0
50	4778	49330	0	0
51	4775	49331	0	0
52	4777	49332	0	0
53	4776	49333	0	0
54	4778	49334	0	0
55	4775	49335	0	0
56	4774	49336	0	0
57	4776	49337	0	0
58	4775	49338	0	0
59	4775	49339	0	0
60	4775	49340	0	0
61	4778	49341	0	0
62	4779	49342	0	0
63	4778	49343	0	0
64	4776	49344	0	0
65	4780	49345	0	0
66	4779	49346	0	0
67	4778	49347	0	0
68	4784	49348	0	0
69	4779	49349	0	0
70	4779	49350	0	0
71	4776	49351	0	0
72	4780	49352	0	0
73	4778	49353	0	0
74	4784	49354	0	0
75	4777	49355	0	0
76	4776	49356	0	0
77	4777	49357	0	0
78	4777	49358	0	0
79	4776	49359	0	0
80	4775	49360	0	0
81	4775	49361	0	0
82	4781	49362	0	0
83	4776	49363	0	0
84	4777	49364	0	0
85	4785	49365	0	0
86	4824	49366	0	0
87	5008	49367	0	0
88	5262	49368	0	0
89	5403	49369	0	0
90	5427	49370	0	0
91	5402	49371	0	0
92	5325	49372	0	0
93	5189	49373	0	0
94	5066	49374	0	0
95	4990	49375	0	0
96	4937	49376	0	0
97	4901	49377	0	0
98	4863	49378	0	0
99	4836	49379	0	0
100	4828	49380	0	0
101	4819	49381	0	0
102	4811	49382	0	0
103	4813	49383	0	0
104	4810	49384	0	0
105	4810	49385	0	0
106	4804	49386	0	0
107	4804	49387	0	0
108	4792	49388	0	0
109	4787	49389	0	0
110	4789	49390	0	0
111	4782	49391	0	0
112	4779	49392	0	0
113	4787	49393	0	0
114	4784	49394	0	0
115	4787	49395	0	0
116	4778	49396	0	0
117	4783	49397	0	0
118	4778	49398	0	0
119	4776	49399	0	0
120	4785	49400	0	0
121	4780	49401	0	0
122	4784	49402	0	0
123	4777	49403	0	0
124	4780	49404	0	0
125	4783	49405	0	0
126	4778	49406	0	0
127	4777	49407	0	0
128	4773	49408	0	0
129	4775	49409	0	0
130	4775	49410	0	0
131	4777	49411	0	0
132	4781	49412	0	0
133	4777	49413	0	0
134	4779	49414	0	0
135	4776	49415	0	0
136	4772	49416	0	0
137	4783	49417	0	0
138	4775	49418	0	0
139	4777	49419	0	0
140	4779	49420	0	0
141	4777	49421	0	0
142	4780	49422	0	0
143	4778	49423	0	0
144	4773	49424	0	0
145	4777	49425	0	0
146	4775	49426	0	0
147	4776	49427	0	0
148	4772	49428	0	0
149	4776	49429	0	0
150	4781	49430	0	0
151	4771	49431	0	0
152	4782	49432	0	0
153	4775	49433	0	0
154	4778	49434	0	0
155	4781	49435	0	0
156	4775	49436	0	0
157	4777	49437	0	0
158	4773	49438	0	0
159	4781	49439	0	0
160	4780	49440	0	0
161	4774	49441	0	0
162	4777	49442	0	0
163	4775	49443	0	0
164	4774	49444	0	0
165	4780	49445	0	0
166	4775	49446	0	0
167	4778	49447	0	0
168	4772	49448	0	0
169	4780	49449	0	0
170	4780	49450	0	0
171	4778	49451	0	0
172	4776	49452	0	0
173	4777	49453	0	0
174	4779	49454	0	0
175	4783	49455	0	0
176	4775	49456	0	0
177	4779	49457	0	0
178	4778	49458	0	0
179	4773	49459	0	0
180	4780	49460	0	0
181	4777	49461	0	0
182	4777	49462	0	0
183	4777	49463	0	0
184	4772	49464	0	0
185	4781	49465	0	0
186	4775	49466	0	0
187	4775	49467	0	0
188	4776	49468	0	0
189	4775	49469	0	0
190	4778	49470	0	0
191	4773	49471	0	0
192	4778	49472	0	0
193	4780	49473	0	0
194	4778	49474	0	0
195	4776	49475	0	0
196	4776	49476	0	0
197	4782	49477	0	0
198	4777	49478	0	0
199	4774	49479	0	0
200	4777	49480	0	0
201	4771	49481	0	0
202	4775	49482	0	0
203	4776	49483	0	0
204	4775	49484	0	0
205	4776	49485	0	0
206	4780	49486	0	0
207	4777	49487	0	0
208	4773	49488	0	0
209	4777	49489	0	0
210	4781	49490	0	0
211	4775	49491	0	0
212	4779	49492	0	0
213	4778	49493	0	0
214	4776	49494	0	0
215	4778	49495	0	0
216	4776	49496	0	0
217	4781	49497	0	0
218	4774	49498	0	0
219	4779	49499	0	0
220	4775	49500	0	0
221	4774	49501	0	0
222	4777	49502	0	0
223	4775	49503	0	0
224	4778	49504	0	0
225	4782	49505	0	0
226	4774	49506	0	0
227	4777	49507	0	0
228	4776	49508	0	0
229	4775	49509	0	0
230	4775	49510	0	0
231	4776	49511	0	0
232	4779	49512	0	0
233	4776	49513	0	0
234	4775	49514	0	0
235	4780	49515	0	0
236	4774	49516	0	0
237	4781	49517	0	0
238	4773	49518	0	0
239	4779	49519	0	0
240	4776	49520	0	0
241	4772	49521	0	0
242	4778	49522	0	0
243	4774	49523	0	0
244	4772	49524	0	0
245	4779	49525	0	0
246	4777	49526	0	0
247	4780	49527	0	0
