isamp	adc	time	tot	eoe
0	4774	54992	0	0
1	4772	54993	0	0
2	4778	54994	0	0
3	4777	54995	0	0
4	4774	54996	0	0
5	4780	54997	0	0
6	4773	54998	0	0
7	4776	54999	0	0
8	4774	55000	0	0
9	4774	55001	0	0
10	4780	55002	0	0
11	4773	55003	0	0
12	4778	55004	0	0
13	4777	55005	0	0
14	4777	55006	0	0
15	4776	55007	0	0
16	4780	55008	0	0
17	4775	55009	0	0
18	4775	55010	0	0
19	4777	55011	0	0
20	4774	55012	0	0
21	4773	55013	0	0
22	4777	55014	0	0
23	4771	55015	0	0
24	4777	55016	0	0
25	4776	55017	0	0
26	4774	55018	0	0
27	4776	55019	0	0
28	4775	55020	0	0
29	4777	55021	0	0
30	4777	55022	0	0
31	4774	55023	0	0
32	4780	55024	0	0
33	4775	55025	0	0
34	4777	55026	0	0
35	4773	55027	0	0
36	4776	55028	0	0
37	4774	55029	0	0
38	4777	55030	0	0
39	4773	55031	0	0
40	4779	55032	0	0
41	4780	55033	0	0
42	4777	55034	0	0
43	4772	55035	0	0
44	4776	55036	0	0
45	4777	55037	0	0
46	4777	55038	0	0
47	4778	55039	0	0
48	4772	55040	0	0
49	4776	55041	0	0
50	4776	55042	0	0
51	4773	55043	0	0
52	4779	55044	0	0
53	4773	55045	0	0
54	4772	55046	0	0
55	4777	55047	0	0
56	4773	55048	0	0
57	4776	55049	0	0
58	4775	55050	0	0
59	4777	55051	0	0
60	4777	55052	0	0
61	4772	55053	0	0
62	4774	55054	0	0
63	4773	55055	0	0
64	4773	55056	0	0
65	4782	55057	0	0
66	4772	55058	0	0
67	4774	55059	0	0
68	4774	55060	0	0
69	4775	55061	0	0
70	4777	55062	0	0
71	4774	55063	0	0
72	4774	55064	0	0
73	4773	55065	0	0
74	4779	55066	0	0
75	4775	55067	0	0
76	4774	55068	0	0
77	4776	55069	0	0
78	4772	55070	0	0
79	4774	55071	0	0
80	4775	55072	0	0
81	4775	55073	0	0
82	4776	55074	0	0
83	4775	55075	0	0
84	4775	55076	0	0
85	4782	55077	0	0
86	4771	55078	0	0
87	4793	55079	0	0
88	4892	55080	0	0
89	5180	55081	0	0
90	5455	55082	0	0
91	5517	55083	0	0
92	5471	55084	0	0
93	5406	55085	0	0
94	5320	55086	0	0
95	5208	55087	0	0
96	5102	55088	0	0
97	5008	55089	0	0
98	4942	55090	0	0
99	4901	55091	0	0
100	4880	55092	0	0
101	4859	55093	0	0
102	4840	55094	0	0
103	4820	55095	0	0
104	4820	55096	0	0
105	4821	55097	0	0
106	4807	55098	0	0
107	4803	55099	0	0
108	4795	55100	0	0
109	4796	55101	0	0
110	4792	55102	0	0
111	4791	55103	0	0
112	4790	55104	0	0
113	4781	55105	0	0
114	4777	55106	0	0
115	4786	55107	0	0
116	4776	55108	0	0
117	4779	55109	0	0
118	4777	55110	0	0
119	4774	55111	0	0
120	4776	55112	0	0
121	4777	55113	0	0
122	4777	55114	0	0
123	4776	55115	0	0
124	4775	55116	0	0
125	4776	55117	0	0
126	4778	55118	0	0
127	4775	55119	0	0
128	4777	55120	0	0
129	4777	55121	0	0
130	4777	55122	0	0
131	4776	55123	0	0
132	4777	55124	0	0
133	4773	55125	0	0
134	4776	55126	0	0
135	4776	55127	0	0
136	4773	55128	0	0
137	4776	55129	0	0
138	4772	55130	0	0
139	4779	55131	0	0
140	4775	55132	0	0
141	4775	55133	0	0
142	4779	55134	0	0
143	4778	55135	0	0
144	4772	55136	0	0
145	4779	55137	0	0
146	4777	55138	0	0
147	4777	55139	0	0
148	4773	55140	0	0
149	4776	55141	0	0
150	4778	55142	0	0
151	4774	55143	0	0
152	4777	55144	0	0
153	4770	55145	0	0
154	4780	55146	0	0
155	4774	55147	0	0
156	4772	55148	0	0
157	4777	55149	0	0
158	4774	55150	0	0
159	4777	55151	0	0
160	4780	55152	0	0
161	4771	55153	0	0
162	4779	55154	0	0
163	4774	55155	0	0
164	4776	55156	0	0
165	4776	55157	0	0
166	4768	55158	0	0
167	4776	55159	0	0
168	4774	55160	0	0
169	4770	55161	0	0
170	4777	55162	0	0
171	4776	55163	0	0
172	4777	55164	0	0
173	4776	55165	0	0
174	4770	55166	0	0
175	4777	55167	0	0
176	4767	55168	0	0
177	4772	55169	0	0
178	4774	55170	0	0
179	4777	55171	0	0
180	4775	55172	0	0
181	4773	55173	0	0
182	4781	55174	0	0
183	4769	55175	0	0
184	4777	55176	0	0
185	4775	55177	0	0
186	4776	55178	0	0
187	4776	55179	0	0
188	4776	55180	0	0
189	4779	55181	0	0
190	4779	55182	0	0
191	4771	55183	0	0
192	4776	55184	0	0
193	4775	55185	0	0
194	4774	55186	0	0
195	4776	55187	0	0
196	4770	55188	0	0
197	4777	55189	0	0
198	4777	55190	0	0
199	4776	55191	0	0
200	4772	55192	0	0
201	4776	55193	0	0
202	4777	55194	0	0
203	4773	55195	0	0
204	4774	55196	0	0
205	4776	55197	0	0
206	4776	55198	0	0
207	4775	55199	0	0
208	4774	55200	0	0
209	4776	55201	0	0
210	4776	55202	0	0
211	4777	55203	0	0
212	4776	55204	0	0
213	4774	55205	0	0
214	4778	55206	0	0
215	4777	55207	0	0
216	4771	55208	0	0
217	4776	55209	0	0
218	4777	55210	0	0
219	4774	55211	0	0
220	4778	55212	0	0
221	4774	55213	0	0
222	4781	55214	0	0
223	4774	55215	0	0
224	4773	55216	0	0
225	4779	55217	0	0
226	4774	55218	0	0
227	4777	55219	0	0
228	4772	55220	0	0
229	4778	55221	0	0
230	4776	55222	0	0
231	4775	55223	0	0
232	4776	55224	0	0
233	4776	55225	0	0
234	4776	55226	0	0
235	4776	55227	0	0
236	4773	55228	0	0
237	4781	55229	0	0
238	4772	55230	0	0
