isamp	adc	time	tot	eoe
0	4780	43644	0	0
1	4773	43645	0	0
2	4776	43646	0	0
3	4776	43647	0	0
4	4775	43648	0	0
5	4778	43649	0	0
6	4777	43650	0	0
7	4777	43651	0	0
8	4769	43652	0	0
9	4776	43653	0	0
10	4776	43654	0	0
11	4774	43655	0	0
12	4783	43656	0	0
13	4775	43657	0	0
14	4774	43658	0	0
15	4776	43659	0	0
16	4775	43660	0	0
17	4779	43661	0	0
18	4771	43662	0	0
19	4778	43663	0	0
20	4778	43664	0	0
21	4776	43665	0	0
22	4781	43666	0	0
23	4775	43667	0	0
24	4778	43668	0	0
25	4781	43669	0	0
26	4771	43670	0	0
27	4777	43671	0	0
28	4776	43672	0	0
29	4776	43673	0	0
30	4780	43674	0	0
31	4771	43675	0	0
32	4774	43676	0	0
33	4775	43677	0	0
34	4774	43678	0	0
35	4775	43679	0	0
36	4772	43680	0	0
37	4779	43681	0	0
38	4772	43682	0	0
39	4775	43683	0	0
40	4773	43684	0	0
41	4780	43685	0	0
42	4781	43686	0	0
43	4774	43687	0	0
44	4774	43688	0	0
45	4781	43689	0	0
46	4774	43690	0	0
47	4776	43691	0	0
48	4772	43692	0	0
49	4774	43693	0	0
50	4775	43694	0	0
51	4771	43695	0	0
52	4774	43696	0	0
53	4774	43697	0	0
54	4771	43698	0	0
55	4776	43699	0	0
56	4772	43700	0	0
57	4775	43701	0	0
58	4775	43702	0	0
59	4776	43703	0	0
60	4776	43704	0	0
61	4777	43705	0	0
62	4780	43706	0	0
63	4775	43707	0	0
64	4778	43708	0	0
65	4777	43709	0	0
66	4775	43710	0	0
67	4777	43711	0	0
68	4773	43712	0	0
69	4777	43713	0	0
70	4781	43714	0	0
71	4769	43715	0	0
72	4780	43716	0	0
73	4776	43717	0	0
74	4778	43718	0	0
75	4778	43719	0	0
76	4776	43720	0	0
77	4775	43721	0	0
78	4776	43722	0	0
79	4774	43723	0	0
80	4776	43724	0	0
81	4778	43725	0	0
82	4775	43726	0	0
83	4777	43727	0	0
84	4777	43728	0	0
85	4776	43729	0	0
86	4778	43730	0	0
87	4794	43731	0	0
88	4883	43732	0	0
89	5096	43733	0	0
90	5301	43734	0	0
91	5406	43735	0	0
92	5424	43736	0	0
93	5383	43737	0	0
94	5315	43738	0	0
95	5263	43739	0	0
96	5171	43740	0	0
97	5047	43741	0	0
98	4956	43742	0	0
99	4913	43743	0	0
100	4875	43744	0	0
101	4841	43745	0	0
102	4825	43746	0	0
103	4811	43747	0	0
104	4802	43748	0	0
105	4802	43749	0	0
106	4797	43750	0	0
107	4796	43751	0	0
108	4788	43752	0	0
109	4797	43753	0	0
110	4798	43754	0	0
111	4792	43755	0	0
112	4790	43756	0	0
113	4782	43757	0	0
114	4787	43758	0	0
115	4778	43759	0	0
116	4781	43760	0	0
117	4783	43761	0	0
118	4772	43762	0	0
119	4775	43763	0	0
120	4777	43764	0	0
121	4775	43765	0	0
122	4778	43766	0	0
123	4775	43767	0	0
124	4773	43768	0	0
125	4780	43769	0	0
126	4771	43770	0	0
127	4777	43771	0	0
128	4775	43772	0	0
129	4778	43773	0	0
130	4777	43774	0	0
131	4772	43775	0	0
132	4772	43776	0	0
133	4777	43777	0	0
134	4773	43778	0	0
135	4777	43779	0	0
136	4778	43780	0	0
137	4779	43781	0	0
138	4776	43782	0	0
139	4772	43783	0	0
140	4776	43784	0	0
141	4774	43785	0	0
142	4778	43786	0	0
143	4776	43787	0	0
144	4773	43788	0	0
145	4781	43789	0	0
146	4773	43790	0	0
147	4778	43791	0	0
148	4768	43792	0	0
149	4775	43793	0	0
150	4776	43794	0	0
151	4772	43795	0	0
152	4779	43796	0	0
153	4774	43797	0	0
154	4776	43798	0	0
155	4778	43799	0	0
156	4774	43800	0	0
157	4776	43801	0	0
158	4774	43802	0	0
159	4773	43803	0	0
160	4776	43804	0	0
161	4774	43805	0	0
162	4773	43806	0	0
163	4772	43807	0	0
164	4775	43808	0	0
165	4776	43809	0	0
166	4775	43810	0	0
167	4778	43811	0	0
168	4772	43812	0	0
169	4777	43813	0	0
170	4775	43814	0	0
171	4777	43815	0	0
172	4779	43816	0	0
173	4777	43817	0	0
174	4779	43818	0	0
175	4784	43819	0	0
176	4776	43820	0	0
177	4780	43821	0	0
178	4772	43822	0	0
179	4776	43823	0	0
180	4778	43824	0	0
181	4773	43825	0	0
182	4779	43826	0	0
183	4772	43827	0	0
184	4776	43828	0	0
185	4777	43829	0	0
186	4778	43830	0	0
187	4775	43831	0	0
188	4777	43832	0	0
189	4776	43833	0	0
190	4776	43834	0	0
191	4776	43835	0	0
192	4774	43836	0	0
193	4772	43837	0	0
194	4778	43838	0	0
195	4774	43839	0	0
196	4774	43840	0	0
197	4783	43841	0	0
198	4772	43842	0	0
199	4774	43843	0	0
200	4779	43844	0	0
201	4776	43845	0	0
202	4775	43846	0	0
203	4776	43847	0	0
204	4775	43848	0	0
205	4776	43849	0	0
206	4772	43850	0	0
207	4783	43851	0	0
208	4772	43852	0	0
209	4775	43853	0	0
210	4783	43854	0	0
211	4776	43855	0	0
212	4774	43856	0	0
213	4779	43857	0	0
214	4770	43858	0	0
215	4775	43859	0	0
216	4775	43860	0	0
217	4776	43861	0	0
218	4776	43862	0	0
219	4777	43863	0	0
220	4779	43864	0	0
221	4772	43865	0	0
222	4782	43866	0	0
223	4773	43867	0	0
224	4775	43868	0	0
225	4775	43869	0	0
226	4773	43870	0	0
227	4777	43871	0	0
228	4774	43872	0	0
229	4777	43873	0	0
230	4781	43874	0	0
231	4774	43875	0	0
232	4776	43876	0	0
233	4772	43877	0	0
234	4777	43878	0	0
235	4779	43879	0	0
236	4771	43880	0	0
237	4776	43881	0	0
238	4773	43882	0	0
239	4777	43883	0	0
240	4775	43884	0	0
241	4776	43885	0	0
242	4777	43886	0	0
243	4775	43887	0	0
244	4778	43888	0	0
245	4775	43889	0	0
246	4776	43890	0	0
247	4780	43891	0	0
248	4772	43892	0	0
249	4773	43893	0	0
250	4780	43894	0	0
251	4772	43895	0	0
252	4778	43896	0	0
253	4772	43897	0	0
254	4778	43898	0	0
255	4777	43899	0	1
