isamp	adc	time	tot	eoe
0	4779	35548	0	0
1	4776	35549	0	0
2	4778	35550	0	0
3	4780	35551	0	0
4	4775	35552	0	0
5	4775	35553	0	0
6	4776	35554	0	0
7	4775	35555	0	0
8	4776	35556	0	0
9	4777	35557	0	0
10	4776	35558	0	0
11	4781	35559	0	0
12	4774	35560	0	0
13	4777	35561	0	0
14	4782	35562	0	0
15	4775	35563	0	0
16	4778	35564	0	0
17	4777	35565	0	0
18	4772	35566	0	0
19	4776	35567	0	0
20	4775	35568	0	0
21	4773	35569	0	0
22	4782	35570	0	0
23	4776	35571	0	0
24	4779	35572	0	0
25	4770	35573	0	0
26	4776	35574	0	0
27	4776	35575	0	0
28	4774	35576	0	0
29	4778	35577	0	0
30	4774	35578	0	0
31	4781	35579	0	0
32	4778	35580	0	0
33	4776	35581	0	0
34	4780	35582	0	0
35	4776	35583	0	0
36	4777	35584	0	0
37	4773	35585	0	0
38	4772	35586	0	0
39	4777	35587	0	0
40	4771	35588	0	0
41	4779	35589	0	0
42	4777	35590	0	0
43	4774	35591	0	0
44	4778	35592	0	0
45	4777	35593	0	0
46	4774	35594	0	0
47	4778	35595	0	0
48	4776	35596	0	0
49	4776	35597	0	0
50	4779	35598	0	0
51	4775	35599	0	0
52	4780	35600	0	0
53	4774	35601	0	0
54	4778	35602	0	0
55	4773	35603	0	0
56	4775	35604	0	0
57	4779	35605	0	0
58	4777	35606	0	0
59	4778	35607	0	0
60	4772	35608	0	0
61	4776	35609	0	0
62	4777	35610	0	0
63	4772	35611	0	0
64	4779	35612	0	0
65	4775	35613	0	0
66	4770	35614	0	0
67	4778	35615	0	0
68	4770	35616	0	0
69	4776	35617	0	0
70	4771	35618	0	0
71	4772	35619	0	0
72	4776	35620	0	0
73	4776	35621	0	0
74	4777	35622	0	0
75	4777	35623	0	0
76	4772	35624	0	0
77	4781	35625	0	0
78	4774	35626	0	0
79	4774	35627	0	0
80	4773	35628	0	0
81	4778	35629	0	0
82	4777	35630	0	0
83	4778	35631	0	0
84	4777	35632	0	0
85	4774	35633	0	0
86	4791	35634	0	0
87	4920	35635	0	0
88	5268	35636	0	0
89	5653	35637	0	0
90	5757	35638	0	0
91	5685	35639	0	0
92	5559	35640	0	0
93	5393	35641	0	0
