isamp	adc	time	tot	eoe
0	4780	37152	0	0
1	4776	37153	0	0
2	4782	37154	0	0
3	4771	37155	0	0
4	4773	37156	0	0
5	4780	37157	0	0
6	4777	37158	0	0
7	4781	37159	0	0
8	4769	37160	0	0
9	4777	37161	0	0
10	4778	37162	0	0
11	4769	37163	0	0
12	4780	37164	0	0
13	4771	37165	0	0
14	4771	37166	0	0
15	4776	37167	0	0
16	4777	37168	0	0
17	4780	37169	0	0
18	4774	37170	0	0
19	4776	37171	0	0
20	4778	37172	0	0
21	4776	37173	0	0
22	4776	37174	0	0
23	4778	37175	0	0
24	4777	37176	0	0
25	4777	37177	0	0
26	4774	37178	0	0
27	4776	37179	0	0
28	4778	37180	0	0
29	4775	37181	0	0
30	4779	37182	0	0
31	4774	37183	0	0
32	4777	37184	0	0
33	4777	37185	0	0
34	4772	37186	0	0
35	4779	37187	0	0
36	4770	37188	0	0
37	4781	37189	0	0
38	4777	37190	0	0
39	4779	37191	0	0
40	4777	37192	0	0
41	4776	37193	0	0
42	4775	37194	0	0
43	4777	37195	0	0
44	4777	37196	0	0
45	4772	37197	0	0
46	4779	37198	0	0
47	4773	37199	0	0
48	4776	37200	0	0
49	4777	37201	0	0
50	4774	37202	0	0
51	4774	37203	0	0
52	4774	37204	0	0
53	4775	37205	0	0
54	4773	37206	0	0
55	4777	37207	0	0
56	4774	37208	0	0
57	4777	37209	0	0
58	4773	37210	0	0
59	4775	37211	0	0
60	4779	37212	0	0
61	4777	37213	0	0
62	4779	37214	0	0
63	4774	37215	0	0
64	4775	37216	0	0
65	4780	37217	0	0
66	4776	37218	0	0
67	4776	37219	0	0
68	4776	37220	0	0
69	4775	37221	0	0
70	4777	37222	0	0
71	4777	37223	0	0
72	4774	37224	0	0
73	4772	37225	0	0
74	4778	37226	0	0
75	4776	37227	0	0
76	4775	37228	0	0
77	4777	37229	0	0
78	4772	37230	0	0
79	4773	37231	0	0
80	4777	37232	0	0
81	4773	37233	0	0
82	4778	37234	0	0
83	4776	37235	0	0
84	4772	37236	0	0
85	4782	37237	0	0
86	4778	37238	0	0
87	4814	37239	0	0
88	4949	37240	0	0
89	5184	37241	0	0
90	5359	37242	0	0
91	5386	37243	0	0
92	5348	37244	0	0
93	5287	37245	0	0
94	5207	37246	0	0
95	5121	37247	0	0
96	5053	37248	0	0
97	5014	37249	0	0
98	4956	37250	0	0
99	4902	37251	0	0
100	4872	37252	0	0
101	4856	37253	0	0
102	4839	37254	0	0
103	4817	37255	0	0
104	4804	37256	0	0
105	4798	37257	0	0
106	4797	37258	0	0
107	4808	37259	0	0
108	4803	37260	0	0
109	4805	37261	0	0
110	4800	37262	0	0
111	4786	37263	0	0
112	4785	37264	0	0
113	4775	37265	0	0
114	4776	37266	0	0
115	4779	37267	0	0
116	4772	37268	0	0
117	4780	37269	0	0
118	4776	37270	0	0
119	4769	37271	0	0
120	4779	37272	0	0
121	4773	37273	0	0
122	4777	37274	0	0
123	4776	37275	0	0
124	4773	37276	0	0
125	4776	37277	0	0
126	4777	37278	0	0
127	4777	37279	0	0
128	4770	37280	0	0
129	4775	37281	0	0
130	4785	37282	0	0
131	4776	37283	0	0
132	4774	37284	0	0
133	4779	37285	0	0
134	4777	37286	0	0
135	4778	37287	0	0
136	4775	37288	0	0
137	4782	37289	0	0
138	4774	37290	0	0
139	4778	37291	0	0
