isamp	adc	time	tot	eoe
0	4774	45604	0	0
1	4774	45605	0	0
2	4782	45606	0	0
3	4774	45607	0	0
4	4777	45608	0	0
5	4774	45609	0	0
6	4776	45610	0	0
7	4779	45611	0	0
8	4777	45612	0	0
9	4777	45613	0	0
10	4776	45614	0	0
11	4778	45615	0	0
12	4773	45616	0	0
13	4775	45617	0	0
14	4773	45618	0	0
15	4779	45619	0	0
16	4773	45620	0	0
17	4776	45621	0	0
18	4777	45622	0	0
19	4779	45623	0	0
20	4776	45624	0	0
21	4772	45625	0	0
22	4779	45626	0	0
23	4772	45627	0	0
24	4780	45628	0	0
25	4775	45629	0	0
26	4777	45630	0	0
27	4781	45631	0	0
28	4773	45632	0	0
29	4777	45633	0	0
30	4775	45634	0	0
31	4773	45635	0	0
32	4777	45636	0	0
33	4775	45637	0	0
34	4775	45638	0	0
35	4773	45639	0	0
36	4773	45640	0	0
37	4777	45641	0	0
38	4779	45642	0	0
39	4776	45643	0	0
40	4773	45644	0	0
41	4780	45645	0	0
42	4778	45646	0	0
43	4772	45647	0	0
44	4777	45648	0	0
45	4770	45649	0	0
46	4780	45650	0	0
47	4776	45651	0	0
48	4775	45652	0	0
49	4778	45653	0	0
50	4773	45654	0	0
51	4777	45655	0	0
52	4777	45656	0	0
53	4773	45657	0	0
54	4777	45658	0	0
55	4775	45659	0	0
56	4777	45660	0	0
57	4777	45661	0	0
58	4776	45662	0	0
59	4778	45663	0	0
60	4774	45664	0	0
61	4774	45665	0	0
62	4777	45666	0	0
63	4774	45667	0	0
64	4780	45668	0	0
65	4773	45669	0	0
66	4776	45670	0	0
67	4778	45671	0	0
68	4777	45672	0	0
69	4775	45673	0	0
70	4773	45674	0	0
71	4773	45675	0	0
72	4782	45676	0	0
73	4777	45677	0	0
74	4780	45678	0	0
75	4771	45679	0	0
76	4774	45680	0	0
77	4780	45681	0	0
78	4774	45682	0	0
79	4783	45683	0	0
80	4776	45684	0	0
81	4778	45685	0	0
82	4783	45686	0	0
83	4775	45687	0	0
84	4777	45688	0	0
85	4779	45689	0	0
86	4793	45690	0	0
87	4901	45691	0	0
88	5175	45692	0	0
89	5486	45693	0	0
90	5612	45694	0	0
91	5551	45695	0	0
92	5415	45696	0	0
93	5283	45697	0	0
94	5177	45698	0	0
95	5081	45699	0	0
96	5010	45700	0	0
97	4948	45701	0	0
98	4896	45702	0	0
99	4875	45703	0	0
100	4852	45704	0	0
101	4837	45705	0	0
102	4822	45706	0	0
103	4809	45707	0	0
104	4804	45708	0	0
105	4796	45709	0	0
106	4788	45710	0	0
107	4793	45711	0	0
108	4798	45712	0	0
109	4805	45713	0	0
110	4797	45714	0	0
111	4791	45715	0	0
112	4793	45716	0	0
113	4785	45717	0	0
114	4794	45718	0	0
115	4785	45719	0	0
116	4784	45720	0	0
117	4782	45721	0	0
118	4779	45722	0	0
119	4778	45723	0	0
120	4778	45724	0	0
121	4780	45725	0	0
122	4781	45726	0	0
123	4776	45727	0	0
124	4781	45728	0	0
125	4777	45729	0	0
126	4778	45730	0	0
127	4778	45731	0	0
128	4773	45732	0	0
129	4778	45733	0	0
130	4777	45734	0	0
131	4775	45735	0	0
