isamp	adc	time	tot	eoe
0	4772	18960	0	0
1	4777	18961	0	0
2	4780	18962	0	0
3	4772	18963	0	0
4	4776	18964	0	0
5	4773	18965	0	0
6	4778	18966	0	0
7	4781	18967	0	0
8	4777	18968	0	0
9	4779	18969	0	0
10	4773	18970	0	0
11	4777	18971	0	0
12	4782	18972	0	0
13	4774	18973	0	0
14	4776	18974	0	0
15	4777	18975	0	0
16	4777	18976	0	0
17	4779	18977	0	0
18	4775	18978	0	0
19	4778	18979	0	0
20	4773	18980	0	0
21	4783	18981	0	0
22	4779	18982	0	0
23	4774	18983	0	0
24	4780	18984	0	0
25	4772	18985	0	0
26	4776	18986	0	0
27	4779	18987	0	0
28	4772	18988	0	0
29	4782	18989	0	0
30	4772	18990	0	0
31	4774	18991	0	0
32	4779	18992	0	0
33	4771	18993	0	0
34	4782	18994	0	0
35	4775	18995	0	0
36	4773	18996	0	0
37	4780	18997	0	0
38	4775	18998	0	0
39	4774	18999	0	0
40	4776	19000	0	0
41	4776	19001	0	0
42	4775	19002	0	0
43	4773	19003	0	0
44	4774	19004	0	0
45	4775	19005	0	0
46	4774	19006	0	0
47	4777	19007	0	0
48	4773	19008	0	0
49	4777	19009	0	0
50	4773	19010	0	0
51	4772	19011	0	0
52	4777	19012	0	0
53	4773	19013	0	0
54	4776	19014	0	0
55	4772	19015	0	0
56	4774	19016	0	0
57	4783	19017	0	0
58	4774	19018	0	0
59	4781	19019	0	0
60	4771	19020	0	0
61	4773	19021	0	0
62	4779	19022	0	0
63	4778	19023	0	0
64	4778	19024	0	0
65	4773	19025	0	0
66	4777	19026	0	0
67	4774	19027	0	0
68	4777	19028	0	0
69	4777	19029	0	0
70	4773	19030	0	0
71	4780	19031	0	0
72	4776	19032	0	0
73	4777	19033	0	0
74	4775	19034	0	0
75	4773	19035	0	0
76	4777	19036	0	0
77	4776	19037	0	0
78	4778	19038	0	0
79	4780	19039	0	0
80	4772	19040	0	0
81	4778	19041	0	0
82	4775	19042	0	0
83	4776	19043	0	0
84	4779	19044	0	0
85	4773	19045	0	0
86	4787	19046	0	0
87	4882	19047	0	0
88	5172	19048	0	0
89	5558	19049	0	0
90	5698	19050	0	0
91	5641	19051	0	0
92	5554	19052	0	0
93	5418	19053	0	0
94	5288	19054	0	0
95	5195	19055	0	0
96	5098	19056	0	0
97	5018	19057	0	0
98	4952	19058	0	0
99	4896	19059	0	0
100	4852	19060	0	0
101	4836	19061	0	0
102	4822	19062	0	0
103	4810	19063	0	0
104	4798	19064	0	0
105	4792	19065	0	0
106	4789	19066	0	0
107	4790	19067	0	0
108	4788	19068	0	0
109	4798	19069	0	0
110	4796	19070	0	0
111	4796	19071	0	0
112	4790	19072	0	0
113	4782	19073	0	0
114	4784	19074	0	0
115	4777	19075	0	0
116	4779	19076	0	0
117	4783	19077	0	0
118	4779	19078	0	0
119	4775	19079	0	0
120	4776	19080	0	0
121	4775	19081	0	0
122	4780	19082	0	0
123	4774	19083	0	0
124	4774	19084	0	0
125	4774	19085	0	0
126	4781	19086	0	0
127	4776	19087	0	0
128	4778	19088	0	0
129	4782	19089	0	0
130	4778	19090	0	0
131	4783	19091	0	0
132	4778	19092	0	0
133	4775	19093	0	0
134	4782	19094	0	0
135	4770	19095	0	0
136	4778	19096	0	0
137	4781	19097	0	0
138	4772	19098	0	0
139	4777	19099	0	0
140	4780	19100	0	0
141	4780	19101	0	0
142	4779	19102	0	0
143	4774	19103	0	0
144	4775	19104	0	0
145	4776	19105	0	0
146	4778	19106	0	0
147	4777	19107	0	0
148	4772	19108	0	0
149	4777	19109	0	0
150	4775	19110	0	0
151	4777	19111	0	0
152	4778	19112	0	0
153	4777	19113	0	0
154	4778	19114	0	0
155	4771	19115	0	0
156	4779	19116	0	0
157	4779	19117	0	0
158	4777	19118	0	0
159	4775	19119	0	0
160	4776	19120	0	0
161	4775	19121	0	0
162	4777	19122	0	0
163	4773	19123	0	0
164	4785	19124	0	0
165	4773	19125	0	0
166	4774	19126	0	0
167	4780	19127	0	0
168	4771	19128	0	0
169	4779	19129	0	0
170	4780	19130	0	0
171	4778	19131	0	0
172	4776	19132	0	0
173	4774	19133	0	0
174	4776	19134	0	0
175	4773	19135	0	0
176	4775	19136	0	0
177	4781	19137	0	0
178	4772	19138	0	0
179	4774	19139	0	0
180	4777	19140	0	0
181	4775	19141	0	0
182	4781	19142	0	0
183	4773	19143	0	0
184	4778	19144	0	0
185	4776	19145	0	0
186	4776	19146	0	0
187	4780	19147	0	0
188	4777	19148	0	0
189	4783	19149	0	0
190	4775	19150	0	0
191	4774	19151	0	0
192	4776	19152	0	0
193	4774	19153	0	0
194	4776	19154	0	0
195	4771	19155	0	0
196	4775	19156	0	0
197	4781	19157	0	0
198	4776	19158	0	0
199	4777	19159	0	0
200	4774	19160	0	0
201	4779	19161	0	0
202	4777	19162	0	0
203	4776	19163	0	0
204	4778	19164	0	0
205	4775	19165	0	0
206	4775	19166	0	0
207	4779	19167	0	0
208	4772	19168	0	0
209	4776	19169	0	0
210	4776	19170	0	0
211	4780	19171	0	0
212	4780	19172	0	0
213	4773	19173	0	0
214	4779	19174	0	0
215	4774	19175	0	0
216	4775	19176	0	0
217	4778	19177	0	0
218	4776	19178	0	0
219	4779	19179	0	0
220	4775	19180	0	0
221	4780	19181	0	0
222	4778	19182	0	0
223	4775	19183	0	0
224	4776	19184	0	0
225	4776	19185	0	0
226	4774	19186	0	0
227	4779	19187	0	0
228	4775	19188	0	0
229	4778	19189	0	0
230	4775	19190	0	0
231	4779	19191	0	0
232	4777	19192	0	0
233	4772	19193	0	0
234	4780	19194	0	0
235	4774	19195	0	0
236	4775	19196	0	0
237	4775	19197	0	0
238	4778	19198	0	0
239	4778	19199	0	0
240	4774	19200	0	0
241	4781	19201	0	0
242	4780	19202	0	0
243	4775	19203	0	0
244	4775	19204	0	0
245	4776	19205	0	0
246	4776	19206	0	0
247	4782	19207	0	0
248	4772	19208	0	0
249	4779	19209	0	0
250	4776	19210	0	0
251	4776	19211	0	0
252	4777	19212	0	0
253	4774	19213	0	0
254	4780	19214	0	0
255	4773	19215	0	1
