isamp	adc	time	tot	eoe
0	4776	27924	0	0
1	4780	27925	0	0
2	4776	27926	0	0
3	4775	27927	0	0
4	4777	27928	0	0
5	4778	27929	0	0
6	4778	27930	0	0
7	4780	27931	0	0
8	4777	27932	0	0
9	4777	27933	0	0
10	4780	27934	0	0
11	4778	27935	0	0
12	4774	27936	0	0
13	4776	27937	0	0
14	4778	27938	0	0
15	4777	27939	0	0
16	4774	27940	0	0
17	4774	27941	0	0
18	4781	27942	0	0
19	4773	27943	0	0
20	4775	27944	0	0
21	4778	27945	0	0
22	4774	27946	0	0
23	4778	27947	0	0
24	4776	27948	0	0
25	4777	27949	0	0
26	4778	27950	0	0
27	4774	27951	0	0
28	4777	27952	0	0
29	4779	27953	0	0
30	4775	27954	0	0
31	4777	27955	0	0
32	4770	27956	0	0
33	4777	27957	0	0
34	4776	27958	0	0
35	4774	27959	0	0
36	4779	27960	0	0
37	4778	27961	0	0
38	4776	27962	0	0
39	4776	27963	0	0
40	4777	27964	0	0
41	4781	27965	0	0
42	4771	27966	0	0
43	4778	27967	0	0
44	4773	27968	0	0
45	4778	27969	0	0
46	4779	27970	0	0
47	4774	27971	0	0
48	4775	27972	0	0
49	4774	27973	0	0
50	4777	27974	0	0
51	4779	27975	0	0
52	4776	27976	0	0
53	4777	27977	0	0
54	4777	27978	0	0
55	4775	27979	0	0
56	4774	27980	0	0
57	4779	27981	0	0
58	4774	27982	0	0
59	4776	27983	0	0
60	4775	27984	0	0
61	4779	27985	0	0
62	4774	27986	0	0
63	4778	27987	0	0
64	4771	27988	0	0
65	4775	27989	0	0
66	4775	27990	0	0
67	4772	27991	0	0
68	4779	27992	0	0
69	4774	27993	0	0
70	4777	27994	0	0
71	4778	27995	0	0
72	4775	27996	0	0
73	4777	27997	0	0
74	4774	27998	0	0
75	4772	27999	0	0
76	4776	28000	0	0
77	4774	28001	0	0
78	4781	28002	0	0
79	4776	28003	0	0
80	4775	28004	0	0
81	4779	28005	0	0
82	4774	28006	0	0
83	4776	28007	0	0
84	4776	28008	0	0
85	4777	28009	0	0
86	4786	28010	0	0
87	4840	28011	0	0
88	5016	28012	0	0
89	5264	28013	0	0
90	5413	28014	0	0
91	5427	28015	0	0
92	5379	28016	0	0
93	5296	28017	0	0
94	5213	28018	0	0
95	5140	28019	0	0
96	5068	28020	0	0
97	5007	28021	0	0
98	4943	28022	0	0
99	4895	28023	0	0
100	4864	28024	0	0
101	4839	28025	0	0
102	4823	28026	0	0
103	4820	28027	0	0
104	4811	28028	0	0
105	4809	28029	0	0
106	4814	28030	0	0
107	4798	28031	0	0
108	4799	28032	0	0
109	4790	28033	0	0
110	4786	28034	0	0
111	4785	28035	0	0
112	4776	28036	0	0
113	4779	28037	0	0
114	4779	28038	0	0
115	4777	28039	0	0
116	4775	28040	0	0
117	4777	28041	0	0
118	4779	28042	0	0
119	4773	28043	0	0
120	4779	28044	0	0
121	4779	28045	0	0
122	4783	28046	0	0
123	4790	28047	0	0
124	4782	28048	0	0
125	4787	28049	0	0
126	4780	28050	0	0
127	4778	28051	0	0
128	4780	28052	0	0
129	4774	28053	0	0
130	4785	28054	0	0
131	4784	28055	0	0
132	4778	28056	0	0
133	4784	28057	0	0
134	4777	28058	0	0
135	4779	28059	0	0
136	4779	28060	0	0
137	4775	28061	0	0
138	4775	28062	0	0
139	4773	28063	0	0
140	4776	28064	0	0
141	4777	28065	0	0
142	4773	28066	0	0
143	4778	28067	0	0
144	4774	28068	0	0
145	4777	28069	0	0
146	4779	28070	0	0
147	4775	28071	0	0
148	4777	28072	0	0
149	4777	28073	0	0
150	4776	28074	0	0
151	4779	28075	0	0
152	4776	28076	0	0
153	4780	28077	0	0
154	4780	28078	0	0
155	4777	28079	0	0
156	4772	28080	0	0
157	4777	28081	0	0
158	4779	28082	0	0
159	4776	28083	0	0
160	4776	28084	0	0
161	4775	28085	0	0
162	4774	28086	0	0
163	4776	28087	0	0
164	4775	28088	0	0
165	4779	28089	0	0
166	4779	28090	0	0
167	4774	28091	0	0
168	4780	28092	0	0
169	4777	28093	0	0
170	4774	28094	0	0
171	4777	28095	0	0
172	4779	28096	0	0
173	4784	28097	0	0
174	4776	28098	0	0
175	4778	28099	0	0
176	4776	28100	0	0
177	4776	28101	0	0
178	4780	28102	0	0
179	4779	28103	0	0
180	4775	28104	0	0
181	4779	28105	0	0
182	4775	28106	0	0
183	4779	28107	0	0
184	4769	28108	0	0
185	4779	28109	0	0
186	4778	28110	0	0
187	4777	28111	0	0
188	4779	28112	0	0
189	4776	28113	0	0
190	4778	28114	0	0
191	4777	28115	0	0
192	4772	28116	0	0
193	4784	28117	0	0
194	4773	28118	0	0
195	4777	28119	0	0
196	4776	28120	0	0
197	4775	28121	0	0
198	4780	28122	0	0
199	4772	28123	0	0
200	4777	28124	0	0
201	4782	28125	0	0
202	4777	28126	0	0
203	4778	28127	0	0
204	4773	28128	0	0
205	4777	28129	0	0
206	4779	28130	0	0
207	4775	28131	0	0
208	4776	28132	0	0
209	4775	28133	0	0
210	4776	28134	0	0
211	4779	28135	0	0
212	4773	28136	0	0
213	4778	28137	0	0
214	4777	28138	0	0
215	4775	28139	0	0
216	4778	28140	0	0
217	4774	28141	0	0
218	4776	28142	0	0
219	4772	28143	0	0
220	4776	28144	0	0
221	4779	28145	0	0
222	4777	28146	0	0
223	4778	28147	0	0
224	4778	28148	0	0
225	4773	28149	0	0
226	4776	28150	0	0
227	4776	28151	0	0
228	4774	28152	0	0
229	4777	28153	0	0
230	4772	28154	0	0
231	4778	28155	0	0
232	4776	28156	0	0
233	4781	28157	0	0
234	4772	28158	0	0
235	4775	28159	0	0
236	4778	28160	0	0
237	4775	28161	0	0
238	4778	28162	0	0
239	4770	28163	0	0
240	4777	28164	0	0
241	4781	28165	0	0
242	4775	28166	0	0
243	4782	28167	0	0
244	4774	28168	0	0
245	4777	28169	0	0
246	4778	28170	0	0
247	4776	28171	0	0
248	4782	28172	0	0
249	4778	28173	0	0
250	4779	28174	0	0
251	4778	28175	0	0
252	4775	28176	0	0
253	4777	28177	0	0
254	4776	28178	0	0
255	4779	28179	0	1
