isamp	adc	time	tot	eoe
0	4775	22720	0	0
1	4777	22721	0	0
2	4774	22722	0	0
3	4780	22723	0	0
4	4774	22724	0	0
5	4781	22725	0	0
6	4782	22726	0	0
7	4769	22727	0	0
8	4783	22728	0	0
9	4774	22729	0	0
10	4776	22730	0	0
11	4782	22731	0	0
12	4780	22732	0	0
13	4773	22733	0	0
14	4775	22734	0	0
15	4775	22735	0	0
16	4779	22736	0	0
17	4773	22737	0	0
18	4780	22738	0	0
19	4780	22739	0	0
20	4779	22740	0	0
21	4778	22741	0	0
22	4774	22742	0	0
23	4780	22743	0	0
24	4776	22744	0	0
25	4778	22745	0	0
26	4777	22746	0	0
27	4776	22747	0	0
28	4779	22748	0	0
29	4772	22749	0	0
30	4778	22750	0	0
31	4776	22751	0	0
32	4773	22752	0	0
33	4780	22753	0	0
34	4773	22754	0	0
35	4773	22755	0	0
36	4782	22756	0	0
37	4774	22757	0	0
38	4779	22758	0	0
39	4778	22759	0	0
40	4774	22760	0	0
41	4782	22761	0	0
42	4777	22762	0	0
43	4780	22763	0	0
44	4776	22764	0	0
45	4777	22765	0	0
46	4779	22766	0	0
47	4776	22767	0	0
48	4776	22768	0	0
49	4778	22769	0	0
50	4778	22770	0	0
51	4776	22771	0	0
52	4777	22772	0	0
53	4781	22773	0	0
54	4778	22774	0	0
55	4777	22775	0	0
56	4775	22776	0	0
57	4776	22777	0	0
58	4781	22778	0	0
59	4777	22779	0	0
60	4776	22780	0	0
61	4774	22781	0	0
62	4777	22782	0	0
63	4777	22783	0	0
64	4771	22784	0	0
65	4776	22785	0	0
66	4780	22786	0	0
67	4781	22787	0	0
68	4778	22788	0	0
69	4775	22789	0	0
70	4779	22790	0	0
71	4781	22791	0	0
72	4772	22792	0	0
73	4779	22793	0	0
74	4777	22794	0	0
75	4777	22795	0	0
76	4776	22796	0	0
77	4773	22797	0	0
78	4778	22798	0	0
79	4777	22799	0	0
80	4778	22800	0	0
81	4782	22801	0	0
82	4775	22802	0	0
83	4779	22803	0	0
84	4793	22804	0	0
85	4899	22805	0	0
86	5150	22806	0	0
87	5340	22807	0	0
88	5373	22808	0	0
89	5353	22809	0	0
90	5303	22810	0	0
91	5228	22811	0	0
92	5146	22812	0	0
93	5076	22813	0	0
94	4989	22814	0	0
95	4920	22815	0	0
96	4875	22816	0	0
97	4840	22817	0	0
98	4823	22818	0	0
99	4829	22819	0	0
100	4824	22820	0	0
101	4814	22821	0	0
102	4799	22822	0	0
103	4795	22823	0	0
104	4782	22824	0	0
105	4790	22825	0	0
106	4788	22826	0	0
107	4790	22827	0	0
108	4793	22828	0	0
109	4797	22829	0	0
110	4792	22830	0	0
111	4790	22831	0	0
112	4786	22832	0	0
113	4790	22833	0	0
114	4783	22834	0	0
115	4779	22835	0	0
